Labirinto 1
###############
#---##------###
#------###---##
###-----#-----#
#I------###--##
###----------##
#F-----####--##
#---#---------#
#------####---#
###############
Solução do Labirinto 1
############### 
#---##------### 
#------###---## 
###-----#-----# 
#Ioo----###--## 
###o---------## 
#ooo---####--## 
#---#---------# 
#------####---# 
############### 
Geração : 145	Fitness : -282.67	Fitness Melhor : 1000	
Geração : 146	Fitness : -334.0	Fitness Melhor : 1000	
Geração : 147	Fitness : -592.42	Fitness Melhor : 1000	
Geração : 148	Fitness : -383.92	Fitness Melhor : 1000	
Geração : 149	Fitness : -504.49	Fitness Melhor : 1000	
Geração : 150	Fitness : -158.29	Fitness Melhor : 1000	
Geração : 151	Fitness : -270.32	Fitness Melhor : 1000	
Geração : 152	Fitness : -630.07	Fitness Melhor : 1000	
Geração : 153	Fitness : -371.8	Fitness Melhor : 1000	
Geração : 154	Fitness : -737.81	Fitness Melhor : 1000	
Geração : 155	Fitness : -235.71	Fitness Melhor : 1000	
Geração : 156	Fitness : -453.26	Fitness Melhor : 1000	
Geração : 157	Fitness : -264.59	Fitness Melhor : 1000	
Geração : 158	Fitness : -382.17	Fitness Melhor : 1000	
Geração : 159	Fitness : -513.85	Fitness Melhor : 1000	
Geração : 160	Fitness : -629.3	Fitness Melhor : 1000	
Geração : 161	Fitness : -333.27	Fitness Melhor : 1000	
Geração : 162	Fitness : -386.33	Fitness Melhor : 1000	
Geração : 163	Fitness : -233.95	Fitness Melhor : 1000	
Geração : 164	Fitness : -481.84	Fitness Melhor : 1000	
Geração : 165	Fitness : -348.4	Fitness Melhor : 1000	
Geração : 166	Fitness : -307.17	Fitness Melhor : 1000	
Geração : 167	Fitness : -293.39	Fitness Melhor : 1000	
Geração : 168	Fitness : -255.19	Fitness Melhor : 1000	
Geração : 169	Fitness : -273.76	Fitness Melhor : 1000	
Geração : 170	Fitness : -381.36	Fitness Melhor : 1000	
Geração : 171	Fitness : -20.64	Fitness Melhor : 1000	
Geração : 172	Fitness : -429.3	Fitness Melhor : 1000	
Geração : 173	Fitness : -266.24	Fitness Melhor : 1000	
Geração : 174	Fitness : -523.73	Fitness Melhor : 1000	
Geração : 175	Fitness : -285.14	Fitness Melhor : 1000	
Geração : 176	Fitness : -383.41	Fitness Melhor : 1000	
Geração : 177	Fitness : -309.41	Fitness Melhor : 1000	
Geração : 178	Fitness : -353.99	Fitness Melhor : 1000	
Geração : 179	Fitness : -465.82	Fitness Melhor : 1000	
Geração : 180	Fitness : -312.12	Fitness Melhor : 1000	
Geração : 181	Fitness : -463.89	Fitness Melhor : 1000	
Geração : 182	Fitness : -501.51	Fitness Melhor : 1000	
Geração : 183	Fitness : -370.75	Fitness Melhor : 1000	
Geração : 184	Fitness : -492.37	Fitness Melhor : 1000	
Geração : 185	Fitness : -291.06	Fitness Melhor : 1000	
Geração : 186	Fitness : -369.66	Fitness Melhor : 1000	
Geração : 187	Fitness : -444.29	Fitness Melhor : 1000	
Geração : 188	Fitness : -327.5	Fitness Melhor : 1000	
Geração : 189	Fitness : -428.14	Fitness Melhor : 1000	
Geração : 190	Fitness : -240.56	Fitness Melhor : 1000	
Geração : 191	Fitness : -200.53	Fitness Melhor : 1000	
Geração : 192	Fitness : -192.29	Fitness Melhor : 1000	
Geração : 193	Fitness : -278.91	Fitness Melhor : 1000	
Geração : 194	Fitness : -171.33	Fitness Melhor : 1000	
Geração : 195	Fitness : -258.55	Fitness Melhor : 1000	
Geração : 196	Fitness : -302.66	Fitness Melhor : 1000	
Geração : 197	Fitness : -474.75	Fitness Melhor : 1000	
Geração : 198	Fitness : -218.82	Fitness Melhor : 1000	
Geração : 199	Fitness : -722.89	Fitness Melhor : 1000	
Geração : 200	Fitness : -279.6	Fitness Melhor : 1000	
Geração : 201	Fitness : -166.4	Fitness Melhor : 1000	
Geração : 202	Fitness : -429.36	Fitness Melhor : 1000	
Geração : 203	Fitness : -348.15	Fitness Melhor : 1000	
Geração : 204	Fitness : -389.1	Fitness Melhor : 1000	
Geração : 205	Fitness : -419.08	Fitness Melhor : 1000	
Geração : 206	Fitness : -543.47	Fitness Melhor : 1000	
Geração : 207	Fitness : -388.66	Fitness Melhor : 1000	
Geração : 208	Fitness : -560.14	Fitness Melhor : 1000	
Geração : 209	Fitness : -363.87	Fitness Melhor : 1000	
Geração : 210	Fitness : -542.09	Fitness Melhor : 1000	
Geração : 211	Fitness : -261.25	Fitness Melhor : 1000	
Geração : 212	Fitness : -294.83	Fitness Melhor : 1000	
Geração : 213	Fitness : -480.24	Fitness Melhor : 1000	
Geração : 214	Fitness : -411.79	Fitness Melhor : 1000	
Geração : 215	Fitness : -478.88	Fitness Melhor : 1000	
Geração : 216	Fitness : -674.3	Fitness Melhor : 1000	
Geração : 217	Fitness : -140.89	Fitness Melhor : 1000	
Geração : 218	Fitness : -458.33	Fitness Melhor : 1000	
Geração : 219	Fitness : -439.37	Fitness Melhor : 1000	
Geração : 220	Fitness : -316.28	Fitness Melhor : 1000	
Geração : 221	Fitness : -265.18	Fitness Melhor : 1000	
Geração : 222	Fitness : -197.75	Fitness Melhor : 1000	
Geração : 223	Fitness : -154.98	Fitness Melhor : 1000	
Geração : 224	Fitness : -352.65	Fitness Melhor : 1000	
Geração : 225	Fitness : -326.72	Fitness Melhor : 1000	
Geração : 226	Fitness : -298.01	Fitness Melhor : 1000	
Geração : 227	Fitness : -611.61	Fitness Melhor : 1000	
Geração : 228	Fitness : -343.64	Fitness Melhor : 1000	
Geração : 229	Fitness : -328.42	Fitness Melhor : 1000	
Geração : 230	Fitness : -267.86	Fitness Melhor : 1000	
Geração : 231	Fitness : -411.2	Fitness Melhor : 1000	
Geração : 232	Fitness : -114.86	Fitness Melhor : 1000	
Geração : 233	Fitness : -281.61	Fitness Melhor : 1000	
Geração : 234	Fitness : -415.02	Fitness Melhor : 1000	
Geração : 235	Fitness : -351.83	Fitness Melhor : 1000	
Geração : 236	Fitness : -306.88	Fitness Melhor : 1000	
Geração : 237	Fitness : -359.27	Fitness Melhor : 1000	
Geração : 238	Fitness : -320.63	Fitness Melhor : 1000	
Geração : 239	Fitness : -285.66	Fitness Melhor : 1000	
Geração : 240	Fitness : -286.75	Fitness Melhor : 1000	
Geração : 241	Fitness : -355.36	Fitness Melhor : 1000	
Geração : 242	Fitness : -118.49	Fitness Melhor : 1000	
Geração : 243	Fitness : -458.56	Fitness Melhor : 1000	
Geração : 244	Fitness : -114.16	Fitness Melhor : 1000	
Geração : 245	Fitness : -499.6	Fitness Melhor : 1000	
Geração : 246	Fitness : -274.04	Fitness Melhor : 1000	
Geração : 247	Fitness : -302.64	Fitness Melhor : 1000	
Geração : 248	Fitness : -502.31	Fitness Melhor : 1000	
Geração : 249	Fitness : -327.82	Fitness Melhor : 1000	
Geração : 250	Fitness : -360.24	Fitness Melhor : 1000	
Geração : 251	Fitness : -346.53	Fitness Melhor : 1000	
Geração : 252	Fitness : -291.41	Fitness Melhor : 1000	
Geração : 253	Fitness : -561.6	Fitness Melhor : 1000	
Geração : 254	Fitness : -173.08	Fitness Melhor : 1000	
Geração : 255	Fitness : -393.55	Fitness Melhor : 1000	
Geração : 256	Fitness : -350.49	Fitness Melhor : 1000	
Geração : 257	Fitness : -242.75	Fitness Melhor : 1000	
Geração : 258	Fitness : -198.03	Fitness Melhor : 1000	
Geração : 259	Fitness : -221.35	Fitness Melhor : 1000	
Geração : 260	Fitness : -341.02	Fitness Melhor : 1000	
Geração : 261	Fitness : -713.27	Fitness Melhor : 1000	
Geração : 262	Fitness : -431.6	Fitness Melhor : 1000	
Geração : 263	Fitness : -310.48	Fitness Melhor : 1000	
Geração : 264	Fitness : -168.91	Fitness Melhor : 1000	
Geração : 265	Fitness : -285.92	Fitness Melhor : 1000	
Geração : 266	Fitness : -385.83	Fitness Melhor : 1000	
Geração : 267	Fitness : -614.12	Fitness Melhor : 1000	
Geração : 268	Fitness : -349.64	Fitness Melhor : 1000	
Geração : 269	Fitness : -393.88	Fitness Melhor : 1000	
Geração : 270	Fitness : -483.38	Fitness Melhor : 1000	
Geração : 271	Fitness : -222.22	Fitness Melhor : 1000	
Geração : 272	Fitness : -248.07	Fitness Melhor : 1000	
Geração : 273	Fitness : -271.3	Fitness Melhor : 1000	
Geração : 274	Fitness : -395.63	Fitness Melhor : 1000	
Geração : 275	Fitness : -190.82	Fitness Melhor : 1000	
Geração : 276	Fitness : -509.37	Fitness Melhor : 1000	
Geração : 277	Fitness : -785.33	Fitness Melhor : 1000	
Geração : 278	Fitness : -492.97	Fitness Melhor : 1000	
Geração : 279	Fitness : -500.05	Fitness Melhor : 1000	
Geração : 280	Fitness : -297.17	Fitness Melhor : 1000	
Geração : 281	Fitness : -109.65	Fitness Melhor : 1000	
Geração : 282	Fitness : -289.46	Fitness Melhor : 1000	
Geração : 283	Fitness : -229.92	Fitness Melhor : 1000	
Geração : 284	Fitness : -452.95	Fitness Melhor : 1000	
Geração : 285	Fitness : -439.79	Fitness Melhor : 1000	
Geração : 286	Fitness : -192.31	Fitness Melhor : 1000	
Geração : 287	Fitness : -334.48	Fitness Melhor : 1000	
Geração : 288	Fitness : -472.3	Fitness Melhor : 1000	
Geração : 289	Fitness : -444.94	Fitness Melhor : 1000	
Geração : 290	Fitness : -222.11	Fitness Melhor : 1000	
Geração : 291	Fitness : -778.79	Fitness Melhor : 1000	
Geração : 292	Fitness : -341.79	Fitness Melhor : 1000	
Geração : 293	Fitness : -584.8	Fitness Melhor : 1000	
Geração : 294	Fitness : -233.62	Fitness Melhor : 1000	
Geração : 295	Fitness : -325.0	Fitness Melhor : 1000	
Geração : 296	Fitness : -457.93	Fitness Melhor : 1000	
Geração : 297	Fitness : -92.82	Fitness Melhor : 1000	
Geração : 298	Fitness : -183.7	Fitness Melhor : 1000	
Geração : 299	Fitness : -206.76	Fitness Melhor : 1000	
Geração : 300	Fitness : -396.66	Fitness Melhor : 1000	
Geração : 301	Fitness : -135.87	Fitness Melhor : 1000	
Geração : 302	Fitness : -286.92	Fitness Melhor : 1000	
Geração : 303	Fitness : -472.75	Fitness Melhor : 1000	
Geração : 304	Fitness : -252.99	Fitness Melhor : 1000	
Geração : 305	Fitness : -493.22	Fitness Melhor : 1000	
Geração : 306	Fitness : -255.73	Fitness Melhor : 1000	
Geração : 307	Fitness : -620.75	Fitness Melhor : 1000	
Geração : 308	Fitness : -283.78	Fitness Melhor : 1000	
Geração : 309	Fitness : -253.66	Fitness Melhor : 1000	
Geração : 310	Fitness : -337.72	Fitness Melhor : 1000	
Geração : 311	Fitness : -127.59	Fitness Melhor : 1000	
Geração : 312	Fitness : -491.84	Fitness Melhor : 1000	
Geração : 313	Fitness : -525.44	Fitness Melhor : 1000	
Geração : 314	Fitness : -45.25	Fitness Melhor : 1000	
Geração : 315	Fitness : -352.57	Fitness Melhor : 1000	
Geração : 316	Fitness : -341.69	Fitness Melhor : 1000	
Geração : 317	Fitness : -314.37	Fitness Melhor : 1000	
Geração : 318	Fitness : -189.92	Fitness Melhor : 1000	
Geração : 319	Fitness : -173.03	Fitness Melhor : 1000	
Geração : 320	Fitness : -435.47	Fitness Melhor : 1000	
Geração : 321	Fitness : -209.3	Fitness Melhor : 1000	
Geração : 322	Fitness : -294.59	Fitness Melhor : 1000	
Geração : 323	Fitness : -236.06	Fitness Melhor : 1000	
Geração : 324	Fitness : -302.36	Fitness Melhor : 1000	
Geração : 325	Fitness : -518.99	Fitness Melhor : 1000	
Geração : 326	Fitness : -415.18	Fitness Melhor : 1000	
Geração : 327	Fitness : -244.95	Fitness Melhor : 1000	
Geração : 328	Fitness : -279.09	Fitness Melhor : 1000	
Geração : 329	Fitness : -312.46	Fitness Melhor : 1000	
Geração : 330	Fitness : -399.39	Fitness Melhor : 1000	
Geração : 331	Fitness : -171.78	Fitness Melhor : 1000	
Geração : 332	Fitness : -307.69	Fitness Melhor : 1000	
Geração : 333	Fitness : -510.75	Fitness Melhor : 1000	
Geração : 334	Fitness : -238.25	Fitness Melhor : 1000	
Geração : 335	Fitness : -256.02	Fitness Melhor : 1000	
