Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 156	Fitness : -39.11	Fitness Melhor : 1000	
Geração : 157	Fitness : -31.28	Fitness Melhor : 1000	
Geração : 158	Fitness : -46.92	Fitness Melhor : 1000	
Geração : 159	Fitness : -70.61	Fitness Melhor : 1000	
Geração : 160	Fitness : -7.3	Fitness Melhor : 1000	
Geração : 161	Fitness : 13.36	Fitness Melhor : 1000	
Geração : 162	Fitness : -60.95	Fitness Melhor : 1000	
Geração : 163	Fitness : -406.61	Fitness Melhor : 1000	
Geração : 164	Fitness : -40.59	Fitness Melhor : 1000	
Geração : 165	Fitness : -43.95	Fitness Melhor : 1000	
Geração : 166	Fitness : -36.06	Fitness Melhor : 1000	
Geração : 167	Fitness : -184.55	Fitness Melhor : 1000	
Geração : 168	Fitness : -41.54	Fitness Melhor : 1000	
Geração : 169	Fitness : -168.66	Fitness Melhor : 1000	
Geração : 170	Fitness : -197.17	Fitness Melhor : 1000	
Geração : 171	Fitness : -228.36	Fitness Melhor : 1000	
Geração : 172	Fitness : -171.3	Fitness Melhor : 1000	
Geração : 173	Fitness : 10.85	Fitness Melhor : 1000	
Geração : 174	Fitness : -9.75	Fitness Melhor : 1000	
Geração : 175	Fitness : -38.83	Fitness Melhor : 1000	
Geração : 176	Fitness : -24.0	Fitness Melhor : 1000	
Geração : 177	Fitness : -146.19	Fitness Melhor : 1000	
Geração : 178	Fitness : -33.4	Fitness Melhor : 1000	
Geração : 179	Fitness : -152.2	Fitness Melhor : 1000	
Geração : 180	Fitness : -220.84	Fitness Melhor : 1000	
Geração : 181	Fitness : 16.44	Fitness Melhor : 1000	
Geração : 182	Fitness : -49.69	Fitness Melhor : 1000	
Geração : 183	Fitness : 0.74	Fitness Melhor : 1000	
Geração : 184	Fitness : -112.72	Fitness Melhor : 1000	
Geração : 185	Fitness : -145.59	Fitness Melhor : 1000	
Geração : 186	Fitness : -185.82	Fitness Melhor : 1000	
Geração : 187	Fitness : -74.59	Fitness Melhor : 1000	
Geração : 188	Fitness : 34.54	Fitness Melhor : 1000	
Geração : 189	Fitness : 15.21	Fitness Melhor : 1000	
Geração : 190	Fitness : -96.41	Fitness Melhor : 1000	
Geração : 191	Fitness : -161.22	Fitness Melhor : 1000	
Geração : 192	Fitness : -22.33	Fitness Melhor : 1000	
Geração : 193	Fitness : -124.91	Fitness Melhor : 1000	
Geração : 194	Fitness : -86.36	Fitness Melhor : 1000	
Geração : 195	Fitness : -150.03	Fitness Melhor : 1000	
Geração : 196	Fitness : -152.18	Fitness Melhor : 1000	
Geração : 197	Fitness : -147.28	Fitness Melhor : 1000	
Geração : 198	Fitness : -85.66	Fitness Melhor : 1000	
Geração : 199	Fitness : -159.25	Fitness Melhor : 1000	
Geração : 200	Fitness : -334.25	Fitness Melhor : 1000	
Geração : 201	Fitness : -175.72	Fitness Melhor : 1000	
Geração : 202	Fitness : -11.27	Fitness Melhor : 1000	
Geração : 203	Fitness : -189.68	Fitness Melhor : 1000	
Geração : 204	Fitness : -221.55	Fitness Melhor : 1000	
Geração : 205	Fitness : -158.67	Fitness Melhor : 1000	
Geração : 206	Fitness : -138.38	Fitness Melhor : 1000	
Geração : 207	Fitness : -163.15	Fitness Melhor : 1000	
Geração : 208	Fitness : -100.58	Fitness Melhor : 1000	
Geração : 209	Fitness : -106.38	Fitness Melhor : 1000	
Geração : 210	Fitness : -21.93	Fitness Melhor : 1000	
Geração : 211	Fitness : -155.09	Fitness Melhor : 1000	
Geração : 212	Fitness : -129.79	Fitness Melhor : 1000	
Geração : 213	Fitness : -152.42	Fitness Melhor : 1000	
Geração : 214	Fitness : 3.84	Fitness Melhor : 1000	
Geração : 215	Fitness : -6.44	Fitness Melhor : 1000	
Geração : 216	Fitness : -22.83	Fitness Melhor : 1000	
Geração : 217	Fitness : -131.9	Fitness Melhor : 1000	
Geração : 218	Fitness : -50.74	Fitness Melhor : 1000	
Geração : 219	Fitness : -262.18	Fitness Melhor : 1000	
Geração : 220	Fitness : -197.23	Fitness Melhor : 1000	
Geração : 221	Fitness : -150.51	Fitness Melhor : 1000	
Geração : 222	Fitness : -182.93	Fitness Melhor : 1000	
Geração : 223	Fitness : -72.75	Fitness Melhor : 1000	
Geração : 224	Fitness : -45.16	Fitness Melhor : 1000	
Geração : 225	Fitness : -23.67	Fitness Melhor : 1000	
Geração : 226	Fitness : -436.4	Fitness Melhor : 1000	
Geração : 227	Fitness : -93.6	Fitness Melhor : 1000	
Geração : 228	Fitness : -140.4	Fitness Melhor : 1000	
Geração : 229	Fitness : -39.42	Fitness Melhor : 1000	
Geração : 230	Fitness : -204.69	Fitness Melhor : 1000	
Geração : 231	Fitness : -319.62	Fitness Melhor : 1000	
Geração : 232	Fitness : -77.11	Fitness Melhor : 1000	
Geração : 233	Fitness : -24.22	Fitness Melhor : 1000	
Geração : 234	Fitness : -104.03	Fitness Melhor : 1000	
Geração : 235	Fitness : -163.24	Fitness Melhor : 1000	
Geração : 236	Fitness : -11.75	Fitness Melhor : 1000	
Geração : 237	Fitness : -120.49	Fitness Melhor : 1000	
Geração : 238	Fitness : -291.08	Fitness Melhor : 1000	
Geração : 239	Fitness : -49.3	Fitness Melhor : 1000	
Geração : 240	Fitness : -254.61	Fitness Melhor : 1000	
