nova solução
############### 
#Iooooo--ooooo# 
#-----oooo----# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 346	Fitness : -79.8	Fitness Melhor : 1000	
Geração : 347	Fitness : -122.84	Fitness Melhor : 1000	
Geração : 348	Fitness : -169.61	Fitness Melhor : 1000	
Geração : 349	Fitness : -39.89	Fitness Melhor : 1000	
Geração : 350	Fitness : -201.45	Fitness Melhor : 1000	
Geração : 351	Fitness : -236.54	Fitness Melhor : 1000	
Geração : 352	Fitness : -59.78	Fitness Melhor : 1000	
Geração : 353	Fitness : -44.49	Fitness Melhor : 1000	
Geração : 354	Fitness : -189.15	Fitness Melhor : 1000	
Geração : 355	Fitness : -166.29	Fitness Melhor : 1000	
Geração : 356	Fitness : -423.59	Fitness Melhor : 1000	
Geração : 357	Fitness : -201.63	Fitness Melhor : 1000	
Geração : 358	Fitness : -108.08	Fitness Melhor : 1000	
Geração : 359	Fitness : 11.73	Fitness Melhor : 1000	
Geração : 360	Fitness : -128.69	Fitness Melhor : 1000	
Geração : 361	Fitness : -276.52	Fitness Melhor : 1000	
Geração : 362	Fitness : -202.7	Fitness Melhor : 1000	
Geração : 363	Fitness : -208.33	Fitness Melhor : 1000	
Geração : 364	Fitness : -232.1	Fitness Melhor : 1000	
Geração : 365	Fitness : -182.73	Fitness Melhor : 1000	
Geração : 366	Fitness : -114.58	Fitness Melhor : 1000	
Geração : 367	Fitness : -59.39	Fitness Melhor : 1000	
Geração : 368	Fitness : -163.41	Fitness Melhor : 1000	
Geração : 369	Fitness : -77.53	Fitness Melhor : 1000	
Geração : 370	Fitness : -197.53	Fitness Melhor : 1000	
Geração : 371	Fitness : -78.68	Fitness Melhor : 1000	
Geração : 372	Fitness : -308.03	Fitness Melhor : 1000	
Geração : 373	Fitness : -210.79	Fitness Melhor : 1000	
Geração : 374	Fitness : -162.42	Fitness Melhor : 1000	
Geração : 375	Fitness : -87.27	Fitness Melhor : 1000	
Geração : 376	Fitness : -202.09	Fitness Melhor : 1000	
Geração : 377	Fitness : -82.04	Fitness Melhor : 1000	
Geração : 378	Fitness : -197.81	Fitness Melhor : 1000	
Geração : 379	Fitness : -68.35	Fitness Melhor : 1000	
Geração : 380	Fitness : -41.01	Fitness Melhor : 1000	
Geração : 381	Fitness : -258.02	Fitness Melhor : 1000	
Geração : 382	Fitness : -190.85	Fitness Melhor : 1000	
Geração : 383	Fitness : -343.29	Fitness Melhor : 1000	
Geração : 384	Fitness : -285.98	Fitness Melhor : 1000	
Geração : 385	Fitness : -99.22	Fitness Melhor : 1000	
Geração : 386	Fitness : -128.48	Fitness Melhor : 1000	
Geração : 387	Fitness : -31.17	Fitness Melhor : 1000	
Geração : 388	Fitness : -345.73	Fitness Melhor : 1000	
Geração : 389	Fitness : -102.02	Fitness Melhor : 1000	
Geração : 390	Fitness : -91.28	Fitness Melhor : 1000	
Geração : 391	Fitness : -385.91	Fitness Melhor : 1000	
Geração : 392	Fitness : -82.83	Fitness Melhor : 1000	
Geração : 393	Fitness : -26.18	Fitness Melhor : 1000	
Geração : 394	Fitness : -203.34	Fitness Melhor : 1000	
Geração : 395	Fitness : -116.58	Fitness Melhor : 1000	
Geração : 396	Fitness : -105.72	Fitness Melhor : 1000	
Geração : 397	Fitness : -112.28	Fitness Melhor : 1000	
Geração : 398	Fitness : -164.24	Fitness Melhor : 1000	
Geração : 399	Fitness : -141.49	Fitness Melhor : 1000	
Geração : 400	Fitness : -96.1	Fitness Melhor : 1000	
Geração : 401	Fitness : -1.24	Fitness Melhor : 1000	
Geração : 402	Fitness : -142.03	Fitness Melhor : 1000	
Geração : 403	Fitness : -94.46	Fitness Melhor : 1000	
Geração : 404	Fitness : -229.72	Fitness Melhor : 1000	
Geração : 405	Fitness : -51.86	Fitness Melhor : 1000	
Geração : 406	Fitness : -68.75	Fitness Melhor : 1000	
Geração : 407	Fitness : -147.08	Fitness Melhor : 1000	
Geração : 408	Fitness : -163.33	Fitness Melhor : 1000	
Geração : 409	Fitness : -91.57	Fitness Melhor : 1000	
Geração : 410	Fitness : 17.92	Fitness Melhor : 1000	
Geração : 411	Fitness : -372.9	Fitness Melhor : 1000	
Geração : 412	Fitness : -246.72	Fitness Melhor : 1000	
Geração : 413	Fitness : -84.63	Fitness Melhor : 1000	
Geração : 414	Fitness : -222.73	Fitness Melhor : 1000	
Geração : 415	Fitness : -88.15	Fitness Melhor : 1000	
Geração : 416	Fitness : -138.18	Fitness Melhor : 1000	
Geração : 417	Fitness : -7.77	Fitness Melhor : 1000	
Geração : 418	Fitness : -93.66	Fitness Melhor : 1000	
Geração : 419	Fitness : -275.72	Fitness Melhor : 1000	
Geração : 420	Fitness : -146.95	Fitness Melhor : 1000	
Geração : 421	Fitness : -37.4	Fitness Melhor : 1000	
Geração : 422	Fitness : -149.27	Fitness Melhor : 1000	
Geração : 423	Fitness : -234.87	Fitness Melhor : 1000	
Geração : 424	Fitness : -297.63	Fitness Melhor : 1000	
Geração : 425	Fitness : -119.4	Fitness Melhor : 1000	
Geração : 426	Fitness : -98.34	Fitness Melhor : 1000	
Geração : 427	Fitness : -213.82	Fitness Melhor : 1000	
Geração : 428	Fitness : -48.38	Fitness Melhor : 1000	
Geração : 429	Fitness : -264.39	Fitness Melhor : 1000	
Geração : 430	Fitness : -77.75	Fitness Melhor : 1000	
Geração : 431	Fitness : -95.8	Fitness Melhor : 1000	
Geração : 432	Fitness : -70.29	Fitness Melhor : 1000	
Geração : 433	Fitness : -244.82	Fitness Melhor : 1000	
Geração : 434	Fitness : -125.0	Fitness Melhor : 1000	
Geração : 435	Fitness : -366.06	Fitness Melhor : 1000	
Geração : 436	Fitness : -260.22	Fitness Melhor : 1000	
Geração : 437	Fitness : -42.18	Fitness Melhor : 1000	
Geração : 438	Fitness : -257.9	Fitness Melhor : 1000	
Geração : 439	Fitness : -109.3	Fitness Melhor : 1000	
Geração : 440	Fitness : -206.35	Fitness Melhor : 1000	
Geração : 441	Fitness : -108.31	Fitness Melhor : 1000	
Geração : 442	Fitness : -135.92	Fitness Melhor : 1000	
Geração : 443	Fitness : -44.75	Fitness Melhor : 1000	
