Geração : 187	Fitness : -246.86	Fitness Melhor : 1000	
Geração : 188	Fitness : -230.87	Fitness Melhor : 1000	
Geração : 189	Fitness : -289.65	Fitness Melhor : 1000	
Geração : 190	Fitness : -278.81	Fitness Melhor : 1000	
Geração : 191	Fitness : -199.88	Fitness Melhor : 1000	
Geração : 192	Fitness : -299.7	Fitness Melhor : 1000	
Geração : 193	Fitness : -225.41	Fitness Melhor : 1000	
Geração : 194	Fitness : -173.74	Fitness Melhor : 1000	
Geração : 195	Fitness : -378.76	Fitness Melhor : 1000	
Geração : 196	Fitness : -105.74	Fitness Melhor : 1000	
Geração : 197	Fitness : -213.2	Fitness Melhor : 1000	
Geração : 198	Fitness : -299.13	Fitness Melhor : 1000	
Geração : 199	Fitness : -298.2	Fitness Melhor : 1000	
Geração : 200	Fitness : -338.32	Fitness Melhor : 1000	
Geração : 201	Fitness : -408.81	Fitness Melhor : 1000	
Geração : 202	Fitness : -324.48	Fitness Melhor : 1000	
Geração : 203	Fitness : -436.84	Fitness Melhor : 1000	
Geração : 204	Fitness : -333.55	Fitness Melhor : 1000	
Geração : 205	Fitness : -224.66	Fitness Melhor : 1000	
Geração : 206	Fitness : -163.47	Fitness Melhor : 1000	
Geração : 207	Fitness : -296.61	Fitness Melhor : 1000	
Geração : 208	Fitness : -400.24	Fitness Melhor : 1000	
Geração : 209	Fitness : -88.65	Fitness Melhor : 1000	
Geração : 210	Fitness : -391.52	Fitness Melhor : 1000	
Geração : 211	Fitness : -218.4	Fitness Melhor : 1000	
Geração : 212	Fitness : -307.95	Fitness Melhor : 1000	
Geração : 213	Fitness : -178.02	Fitness Melhor : 1000	
Geração : 214	Fitness : -205.09	Fitness Melhor : 1000	
Geração : 215	Fitness : -170.35	Fitness Melhor : 1000	
Geração : 216	Fitness : -169.32	Fitness Melhor : 1000	
Geração : 217	Fitness : -108.16	Fitness Melhor : 1000	
Geração : 218	Fitness : -178.64	Fitness Melhor : 1000	
Geração : 219	Fitness : -358.86	Fitness Melhor : 1000	
Geração : 220	Fitness : -343.33	Fitness Melhor : 1000	
Geração : 221	Fitness : -328.65	Fitness Melhor : 1000	
Geração : 222	Fitness : -227.57	Fitness Melhor : 1000	
Geração : 223	Fitness : -156.9	Fitness Melhor : 1000	
Geração : 224	Fitness : -108.04	Fitness Melhor : 1000	
Geração : 225	Fitness : -264.09	Fitness Melhor : 1000	
Geração : 226	Fitness : -105.72	Fitness Melhor : 1000	
Geração : 227	Fitness : -291.8	Fitness Melhor : 1000	
Geração : 228	Fitness : -234.41	Fitness Melhor : 1000	
Geração : 229	Fitness : -259.81	Fitness Melhor : 1000	
