
Solução nova :

############### 
#Ioooooo-----o# 
#------ooooooo# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 272	Fitness : -20.22	Fitness Melhor : 1000	
Geração : 273	Fitness : -41.09	Fitness Melhor : 1000	
Geração : 274	Fitness : -92.54	Fitness Melhor : 1000	
Geração : 275	Fitness : -6.92	Fitness Melhor : 1000	
Geração : 276	Fitness : -60.6	Fitness Melhor : 1000	
Geração : 277	Fitness : -55.86	Fitness Melhor : 1000	
Geração : 278	Fitness : -105.62	Fitness Melhor : 1000	
Geração : 279	Fitness : -118.25	Fitness Melhor : 1000	
Geração : 280	Fitness : -108.59	Fitness Melhor : 1000	
Geração : 281	Fitness : -15.46	Fitness Melhor : 1000	
Geração : 282	Fitness : 11.99	Fitness Melhor : 1000	
Geração : 283	Fitness : -47.19	Fitness Melhor : 1000	
Geração : 284	Fitness : -56.76	Fitness Melhor : 1000	
Geração : 285	Fitness : -74.41	Fitness Melhor : 1000	
Geração : 286	Fitness : 2.09	Fitness Melhor : 1000	
Geração : 287	Fitness : -31.96	Fitness Melhor : 1000	
Geração : 288	Fitness : -86.61	Fitness Melhor : 1000	
Geração : 289	Fitness : -45.63	Fitness Melhor : 1000	
Geração : 290	Fitness : -187.24	Fitness Melhor : 1000	
Geração : 291	Fitness : -95.03	Fitness Melhor : 1000	
Geração : 292	Fitness : -24.48	Fitness Melhor : 1000	
Geração : 293	Fitness : 49.72	Fitness Melhor : 1000	
Geração : 294	Fitness : -144.03	Fitness Melhor : 1000	
Geração : 295	Fitness : -115.95	Fitness Melhor : 1000	
Geração : 296	Fitness : -70.62	Fitness Melhor : 1000	
Geração : 297	Fitness : -2.31	Fitness Melhor : 1000	
Geração : 298	Fitness : -40.11	Fitness Melhor : 1000	
Geração : 299	Fitness : -29.47	Fitness Melhor : 1000	
Geração : 300	Fitness : -109.45	Fitness Melhor : 1000	
Geração : 301	Fitness : -196.38	Fitness Melhor : 1000	
Geração : 302	Fitness : -207.98	Fitness Melhor : 1000	
Geração : 303	Fitness : -146.4	Fitness Melhor : 1000	
Geração : 304	Fitness : -96.74	Fitness Melhor : 1000	
Geração : 305	Fitness : -58.26	Fitness Melhor : 1000	
Geração : 306	Fitness : -309.52	Fitness Melhor : 1000	
Geração : 307	Fitness : -144.53	Fitness Melhor : 1000	
Geração : 308	Fitness : -119.2	Fitness Melhor : 1000	
Geração : 309	Fitness : -245.38	Fitness Melhor : 1000	
Geração : 310	Fitness : -151.91	Fitness Melhor : 1000	
Geração : 311	Fitness : -64.61	Fitness Melhor : 1000	
Geração : 312	Fitness : -42.4	Fitness Melhor : 1000	
Geração : 313	Fitness : -13.09	Fitness Melhor : 1000	
Geração : 314	Fitness : 13.47	Fitness Melhor : 1000	
Geração : 315	Fitness : -69.97	Fitness Melhor : 1000	
Geração : 316	Fitness : -87.43	Fitness Melhor : 1000	
Geração : 317	Fitness : -208.08	Fitness Melhor : 1000	
Geração : 318	Fitness : -66.04	Fitness Melhor : 1000	
Geração : 319	Fitness : 39.82	Fitness Melhor : 1000	
Geração : 320	Fitness : -384.58	Fitness Melhor : 1000	
Geração : 321	Fitness : -400.83	Fitness Melhor : 1000	
Geração : 322	Fitness : -345.31	Fitness Melhor : 1000	
Geração : 323	Fitness : -110.06	Fitness Melhor : 1000	
Geração : 324	Fitness : -87.65	Fitness Melhor : 1000	
Geração : 325	Fitness : -213.47	Fitness Melhor : 1000	
Geração : 326	Fitness : -83.42	Fitness Melhor : 1000	
Geração : 327	Fitness : -97.53	Fitness Melhor : 1000	
Geração : 328	Fitness : -38.44	Fitness Melhor : 1000	
Geração : 329	Fitness : -102.04	Fitness Melhor : 1000	
Geração : 330	Fitness : 2.39	Fitness Melhor : 1000	
Geração : 331	Fitness : -113.89	Fitness Melhor : 1000	
Geração : 332	Fitness : -38.76	Fitness Melhor : 1000	
Geração : 333	Fitness : -110.31	Fitness Melhor : 1000	
Geração : 334	Fitness : -132.45	Fitness Melhor : 1000	
Geração : 335	Fitness : -144.26	Fitness Melhor : 1000	
Geração : 336	Fitness : -67.34	Fitness Melhor : 1000	
