

Labirinto 2
###############
#I--#---#-----#
#-------#--####
###-----#-----#
#F------#-----#
######--#-----#
#---------#---#
#------#--#---#
#------#--#---#
###############

Solução do Labirinto 2
############### 
#o--#---#-----# 
#ooo----#--#### 
###o----#-----# 
#ooo----#-----# 
######--#-----# 
#---------#---# 
#------#--#---# 
#------#--#---# 
############### 

Geração : 250	Fitness : -335.3	Fitness Melhor : 1000	
Geração : 251	Fitness : -458.4	Fitness Melhor : 1000	
Geração : 252	Fitness : -240.49	Fitness Melhor : 1000	
Geração : 253	Fitness : -488.43	Fitness Melhor : 1000	
Geração : 254	Fitness : -324.55	Fitness Melhor : 1000	
Geração : 255	Fitness : -721.97	Fitness Melhor : 1000	
Geração : 256	Fitness : -244.27	Fitness Melhor : 1000	
Geração : 257	Fitness : -340.9	Fitness Melhor : 1000	
Geração : 258	Fitness : -212.29	Fitness Melhor : 1000	
Geração : 259	Fitness : -461.93	Fitness Melhor : 1000	
Geração : 260	Fitness : -198.44	Fitness Melhor : 1000	
Geração : 261	Fitness : -347.68	Fitness Melhor : 1000	
Geração : 262	Fitness : -202.59	Fitness Melhor : 1000	
Geração : 263	Fitness : -215.21	Fitness Melhor : 1000	
Geração : 264	Fitness : -192.78	Fitness Melhor : 1000	
Geração : 265	Fitness : -322.44	Fitness Melhor : 1000	
Geração : 266	Fitness : -337.87	Fitness Melhor : 1000	
Geração : 267	Fitness : -445.92	Fitness Melhor : 1000	
Geração : 268	Fitness : -508.51	Fitness Melhor : 1000	
Geração : 269	Fitness : -256.0	Fitness Melhor : 1000	
Geração : 270	Fitness : -326.56	Fitness Melhor : 1000	
Geração : 271	Fitness : -381.71	Fitness Melhor : 1000	
Geração : 272	Fitness : -263.18	Fitness Melhor : 1000	
Geração : 273	Fitness : -336.44	Fitness Melhor : 1000	
Geração : 274	Fitness : -337.61	Fitness Melhor : 1000	
Geração : 275	Fitness : -438.15	Fitness Melhor : 1000	
Geração : 276	Fitness : -288.23	Fitness Melhor : 1000	
Geração : 277	Fitness : -156.64	Fitness Melhor : 1000	
Geração : 278	Fitness : -262.57	Fitness Melhor : 1000	
Geração : 279	Fitness : -244.28	Fitness Melhor : 1000	
Geração : 280	Fitness : -406.89	Fitness Melhor : 1000	
Geração : 281	Fitness : -204.57	Fitness Melhor : 1000	
Geração : 282	Fitness : -412.12	Fitness Melhor : 1000	
Geração : 283	Fitness : -319.63	Fitness Melhor : 1000	
Geração : 284	Fitness : -438.09	Fitness Melhor : 1000	
Geração : 285	Fitness : -329.85	Fitness Melhor : 1000	
Geração : 286	Fitness : -538.41	Fitness Melhor : 1000	
Geração : 287	Fitness : -340.18	Fitness Melhor : 1000	
Geração : 288	Fitness : -266.58	Fitness Melhor : 1000	
Geração : 289	Fitness : -183.08	Fitness Melhor : 1000	
