Geração : 148	Fitness : -110.68	Fitness Melhor : 1000	
Geração : 149	Fitness : -26.95	Fitness Melhor : 1000	
Geração : 150	Fitness : -76.8	Fitness Melhor : 1000	
Geração : 151	Fitness : -156.55	Fitness Melhor : 1000	
Geração : 152	Fitness : -44.27	Fitness Melhor : 1000	
Geração : 153	Fitness : -207.21	Fitness Melhor : 1000	
Geração : 154	Fitness : -163.07	Fitness Melhor : 1000	
Geração : 155	Fitness : -40.02	Fitness Melhor : 1000	
Geração : 156	Fitness : -131.77	Fitness Melhor : 1000	
Geração : 157	Fitness : -103.07	Fitness Melhor : 1000	
Geração : 158	Fitness : -133.52	Fitness Melhor : 1000	
Geração : 159	Fitness : -95.5	Fitness Melhor : 1000	
Geração : 160	Fitness : -54.48	Fitness Melhor : 1000	
Geração : 161	Fitness : -125.81	Fitness Melhor : 1000	
Geração : 162	Fitness : -107.52	Fitness Melhor : 1000	
Geração : 163	Fitness : -180.61	Fitness Melhor : 1000	
Geração : 164	Fitness : -91.26	Fitness Melhor : 1000	
Geração : 165	Fitness : -166.24	Fitness Melhor : 1000	
Geração : 166	Fitness : -55.64	Fitness Melhor : 1000	
Geração : 167	Fitness : -134.09	Fitness Melhor : 1000	
Geração : 168	Fitness : -62.19	Fitness Melhor : 1000	
Geração : 169	Fitness : -92.15	Fitness Melhor : 1000	
Geração : 170	Fitness : -212.43	Fitness Melhor : 1000	
Geração : 171	Fitness : -38.29	Fitness Melhor : 1000	
Geração : 172	Fitness : -136.19	Fitness Melhor : 1000	
Geração : 173	Fitness : -57.57	Fitness Melhor : 1000	
Geração : 174	Fitness : -59.1	Fitness Melhor : 1000	
Geração : 175	Fitness : -222.55	Fitness Melhor : 1000	
Geração : 176	Fitness : -159.24	Fitness Melhor : 1000	
Geração : 177	Fitness : -121.62	Fitness Melhor : 1000	
Geração : 178	Fitness : -146.8	Fitness Melhor : 1000	
Geração : 179	Fitness : -49.24	Fitness Melhor : 1000	
Geração : 180	Fitness : -179.33	Fitness Melhor : 1000	
Geração : 181	Fitness : -63.92	Fitness Melhor : 1000	
Geração : 182	Fitness : -252.57	Fitness Melhor : 1000	
Geração : 183	Fitness : -139.45	Fitness Melhor : 1000	
Geração : 184	Fitness : -28.91	Fitness Melhor : 1000	
Geração : 185	Fitness : -98.31	Fitness Melhor : 1000	
Geração : 186	Fitness : -136.31	Fitness Melhor : 1000	
Geração : 187	Fitness : -86.78	Fitness Melhor : 1000	
Geração : 188	Fitness : -149.07	Fitness Melhor : 1000	
Geração : 189	Fitness : -249.0	Fitness Melhor : 1000	
Geração : 190	Fitness : -205.2	Fitness Melhor : 1000	
Geração : 191	Fitness : -182.91	Fitness Melhor : 1000	
Geração : 192	Fitness : -116.3	Fitness Melhor : 1000	
Geração : 193	Fitness : -234.43	Fitness Melhor : 1000	
Geração : 194	Fitness : -67.36	Fitness Melhor : 1000	
Geração : 195	Fitness : -40.93	Fitness Melhor : 1000	
Geração : 196	Fitness : -188.61	Fitness Melhor : 1000	
Geração : 197	Fitness : -183.96	Fitness Melhor : 1000	
Geração : 198	Fitness : -111.36	Fitness Melhor : 1000	
Geração : 199	Fitness : -36.64	Fitness Melhor : 1000	
Geração : 200	Fitness : -74.95	Fitness Melhor : 1000	
Geração : 201	Fitness : -150.68	Fitness Melhor : 1000	
Geração : 202	Fitness : -93.25	Fitness Melhor : 1000	
Geração : 203	Fitness : -68.62	Fitness Melhor : 1000	
Geração : 204	Fitness : -131.49	Fitness Melhor : 1000	
Geração : 205	Fitness : -25.75	Fitness Melhor : 1000	
Geração : 206	Fitness : -110.23	Fitness Melhor : 1000	
Geração : 207	Fitness : -122.67	Fitness Melhor : 1000	
Geração : 208	Fitness : -54.57	Fitness Melhor : 1000	
Geração : 209	Fitness : -114.08	Fitness Melhor : 1000	
Geração : 210	Fitness : -157.23	Fitness Melhor : 1000	
Geração : 211	Fitness : -121.81	Fitness Melhor : 1000	
Geração : 212	Fitness : -129.16	Fitness Melhor : 1000	
Geração : 213	Fitness : -231.03	Fitness Melhor : 1000	
Geração : 214	Fitness : -200.34	Fitness Melhor : 1000	
Geração : 215	Fitness : -90.71	Fitness Melhor : 1000	
Geração : 216	Fitness : -181.46	Fitness Melhor : 1000	
Geração : 217	Fitness : -163.3	Fitness Melhor : 1000	
Geração : 218	Fitness : -169.35	Fitness Melhor : 1000	
Geração : 219	Fitness : -26.6	Fitness Melhor : 1000	
Geração : 220	Fitness : -195.65	Fitness Melhor : 1000	
Geração : 221	Fitness : -162.56	Fitness Melhor : 1000	
Geração : 222	Fitness : -49.92	Fitness Melhor : 1000	
Geração : 223	Fitness : -74.34	Fitness Melhor : 1000	
Geração : 224	Fitness : -71.31	Fitness Melhor : 1000	
